_id,play_type,yards_gained,interception,fumble_lost,rush_attempt,pass_attempt,pass_touchdown,rush_touchdown,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name
ObjectId("5c0c8fcd4881fd17b071cf98"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fcd4881fd17b071cf99"),pass,0,0,0,0,1,0,0,00-0019596,T.Brady,00-0029689,D.Allen,NA,NA
ObjectId("5c0c8fcd4881fd17b071cf9a"),pass,8,0,0,0,1,0,0,00-0019596,T.Brady,00-0030288,R.Burkhead,NA,NA
ObjectId("5c0c8fcd4881fd17b071cf9b"),run,8,0,0,1,0,0,0,NA,NA,NA,NA,00-0031062,J.White
ObjectId("5c0c8fcd4881fd17b071cf9c"),run,3,0,0,1,0,0,0,NA,NA,NA,NA,00-0031062,J.White
ObjectId("5c0c8fcd4881fd17b071cf9d"),pass,19,0,0,0,1,0,0,00-0019596,T.Brady,00-0031236,B.Cooks,NA,NA
ObjectId("5c0c8fcd4881fd17b071cf9e"),run,5,0,0,1,0,0,0,NA,NA,NA,NA,00-0031062,J.White
ObjectId("5c0c8fcd4881fd17b071cf9f"),pass,16,0,0,0,1,0,0,00-0019596,T.Brady,00-0026035,D.Amendola,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa0"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa1"),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa2"),pass,0,0,0,0,1,0,0,00-0019596,T.Brady,00-0027656,R.Gronkowski,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa3"),run,2,0,0,1,0,0,1,NA,NA,NA,NA,00-0030433,M.Gillislee
ObjectId("5c0c8fcd4881fd17b071cfa4"),extra_point,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa5"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa6"),run,7,0,1,1,0,0,0,NA,NA,NA,NA,00-0033923,K.Hunt
ObjectId("5c0c8fcd4881fd17b071cfa7"),pass,0,0,0,0,1,0,0,00-0019596,T.Brady,00-0027656,R.Gronkowski,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa8"),pass,3,0,0,0,1,0,0,00-0019596,T.Brady,00-0031062,J.White,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfa9"),run,10,0,0,1,0,0,0,NA,NA,NA,NA,00-0031062,J.White
ObjectId("5c0c8fcd4881fd17b071cfaa"),pass,0,0,0,0,1,0,0,00-0019596,T.Brady,00-0027656,R.Gronkowski,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfab"),run,-1,0,0,1,0,0,0,NA,NA,NA,NA,00-0030288,R.Burkhead
ObjectId("5c0c8fcd4881fd17b071cfac"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfad"),pass,5,0,0,0,1,0,0,00-0019596,T.Brady,00-0026035,D.Amendola,NA,NA
ObjectId("5c0c8fcd4881fd17b071cfae"),run,0,0,0,1,0,0,0,NA,NA,NA,NA,00-0030433,M.Gillislee
ObjectId("5c0c8fcd4881fd17b071cfaf"),run,9,0,0,1,0,0,0,NA,NA,NA,NA,00-0033923,K.Hunt
